"","colnames.base_estacionaria.","tipo","test"
"20","Taxa.de.câmbio...efetiva.real...fabricação.de.produtos.diversos..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS3212",0,1
"21","Taxa.de.câmbio...efetiva.real...produção.florestal..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS212",0,1
"22","Taxa.de.câmbio...efetiva.real...pesca.e.aqüicultura..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS312",0,1
"23","Taxa.de.câmbio...efetiva.real...IPA.OG.IT...exportações...manufaturados...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXM12",0,1
"24","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...exportações...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXT12",0,1
"25","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMT12",0,1
"26","Taxa.de.câmbio...efetiva.real...INPC...importações...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMTINPC12",0,1
"27","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...bens.de.capital...índice.média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMBK12",0,1
"28","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...bens.interm....índice.média.2010.100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMBI12",0,1
"29","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...bens.duráveis...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMBCD12",0,1
"30","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...bens.não.duráveis...índice.média.2010.100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMBCND12",0,1
"31","Taxa.de.câmbio...efetiva.real...IPA.EP.DI...importações...combustíveis...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMCOMB12",0,1
