Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
11/2002,98.05472,2.597292,98.48641,100.259,100.2445,16.9446,98.79024,2.530034,98.84559,181.5,5.9,1.34,0.72,97.99294,98.09732,2.505203,98.9397,98.9181,1.832199,98.60101259,7.445236957,99.2535826,39.17,65.29,10022,16445,82.79,9.77,0.3,8.9
12/2002,98.49322,3.593609,98.8276,100.4643,100.4411,17.06004,98.69522,2.24642,98.7574,181.8,6,1.24,0.66,97.89773,98.00711,2.136002,98.84356,98.8188,1.686004,98.69663752,7.68500267,99.30439969,37.06,71.18,10476,16662,82.76,9.6,0.32,8.94
1/2003,98.80847,4.575039,99.07289,100.6275,100.5974,17.08364,98.60348,1.934022,98.67691,182.6,5.8,1.24,0.91,97.82893,97.94193,1.753002,98.7589,98.72932,1.508606,98.81075985,7.817592922,99.3650467,41.51,74.52,9326,17091,82.95,9.88,0.38,9.92
2/2003,99.02034,5.432278,99.23774,100.7569,100.7213,17.02219,98.53095,1.646119,98.61531,183.6,5.9,1.26,0.69,97.79748,97.91214,1.42467,98.69001,98.65411,1.32585,98.92506469,7.854043009,99.4257907,39.5,75.11,10289,17288,83.34,10.28,0.48,9.56
3/2003,99.11912,6.048504,99.3146,100.8695,100.8292,16.88711,98.50939,1.458154,98.59896,183.9,5.9,1.25,0.47,97.83471,97.94741,1.2436,98.64873,98.60607,1.177631,99.02682227,7.822878353,99.47986681,38.36,78.07,10517,17086,84.27,10.44,0.37,10.6
4/2003,99.1112,6.443627,99.30844,100.9506,100.9068,16.73141,98.56451,1.436712,98.6501,183.2,6,1.26,0.26,97.96659,98.07235,1.289409,98.65341,98.60474,1.109806,99.13548745,7.817171363,99.53761378,40.13,82.41,10971,16865,84.23,10.46,0.44,9.42
5/2003,99.06874,6.677102,99.2754,100.9917,100.9462,16.56941,98.68933,1.584638,98.76338,182.9,6.1,1.26,0.47,98.18534,98.27958,1.57214,98.70838,98.65498,1.14168,99.26332707,7.896743546,99.60555044,44.52,77.01,11374,17395,84.2,10.36,0.55,9.3
6/2003,98.98666,6.792604,99.21154,101.0156,100.9691,16.42666,98.87322,1.878486,98.9298,183.1,6.3,1.22,0.56,98.46398,98.54355,2.056728,98.81609,98.75886,1.278622,99.39949153,8.04638917,99.67791109,54.42,78.74,12183,17576,83.81,10,0.49,9.1
7/2003,98.87588,6.756532,99.12534,101.0344,100.987,16.31456,99.1017,2.269407,99.13711,183.7,6.2,1.01,0.93,98.78876,98.85124,2.678372,98.96635,98.90648,1.497869,99.52546433,8.206415938,99.74485569,53.87,82.68,13484,17719,83.68,9.99,0.51,8.22
8/2003,98.78192,6.554465,99.05223,101.0628,101.0143,16.23272,99.35668,2.701912,99.36974,184.5,6.1,1.03,1.13,99.14954,99.19303,3.360815,99.14598,99.08421,1.771346,99.63588646,8.338879603,99.80353633,54.8,81.64,13584,17516,83.69,9.74,0.51,10.51
9/2003,98.75581,6.260906,99.03192,101.1122,101.0616,16.15814,99.62352,3.138907,99.61424,185.1,6.1,1.01,1.49,99.53601,99.55916,4.051912,99.33497,99.2726,2.066107,99.71832755,8.42109546,99.84734726,50.33,86.88,13406,16988,84.16,9.78,0.58,8.21
10/2003,98.81441,5.909929,99.07751,101.1702,101.1171,16.06677,99.88282,3.545397,99.85267,184.9,6,1.01,1.56,99.92807,99.93058,4.69071,99.51304,99.45193,2.353483,99.78204758,8.462884743,99.88120942,50.37,90.78,12902,16608,84.2,9.81,0.67,9.06
