Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
7/2008,96.6829,-1.77716,97.41902,96.79251,96.92496,7.599869,99.26278,-1.45999,99.36937,219.016,5.8,2.01,-0.41,99.64721,99.6645,-1.4997,99.66851,99.61836,-1.92182,99.84264679,-0.7875652347,99.91341311,40.47,165.57,47545,11619,97.46,34.84,6.4,9.16
8/2008,95.71642,-2.53759,96.66702,95.82888,96.00218,6.587977,98.67046,-2.02735,98.83927,218.69,6.1,2,-0.79,98.99487,99.0465,-2.10097,99.14076,99.09722,-2.42266,98.27527344,-2.473974231,99.08047796,41.38,157.98,47090,13512,98.03,34.92,6.25,8.61
9/2008,94.78348,-3.26008,95.94111,94.98076,95.19001,5.795944,97.9949,-2.65129,98.23265,218.877,6.1,1.81,-0.6,98.20346,98.29675,-2.80744,98.55182,98.51672,-2.95937,96.63411321,-4.194437919,98.20833091,44.41,156.03,47121,14255,98.59,34.7,5.27,7.73
10/2008,93.99768,-3.80813,95.3297,94.33291,94.56961,5.323776,97.28782,-3.29095,97.59244,216.995,6.5,0.97,-1.18,97.3324,97.47155,-3.5799,97.92975,97.90456,-3.51266,95.10991075,-5.748658525,97.39833768,40.11,151.43,44941,14007,99.2,31.93,4.24,7.32
11/2008,93.52032,-4.02437,94.95827,93.95531,94.20802,5.226749,96.64407,-3.85246,97.00107,213.153,6.8,0.39,-1.77,96.49701,96.68013,-4.30809,97.33753,97.32318,-4.01869,93.84774801,-6.977718785,96.72759787,39.12,148.25,46072,13688,99.5,30.97,3.68,7.89
12/2008,93.38178,-3.88855,94.85047,93.88017,94.13606,5.51743,96.14511,-4.25827,96.53096,211.398,7.3,0.16,-1.88,95.79357,96.01372,-4.90339,96.84728,96.84264,-4.41003,92.90230928,-7.823316146,96.22517185,37.06,145.94,46386,12557,99.86,31.2,2.57,8.11
1/2009,93.55763,-3.40602,94.9873,94.12108,94.36676,6.220297,95.83697,-4.45439,96.2263,211.933,7.8,0.15,-2.32,95.2838,95.53079,-5.29763,96.51442,96.51731,-4.63318,92.27140348,-8.304020481,95.88989524,41.19,151.11,47009,12172,99.97,30.1,2.06,10.32
2/2009,93.99172,-2.56846,95.32506,94.65831,94.88122,7.342211,95.7433,-4.39873,96.10949,212.705,8.3,0.22,-2.29,95.00239,95.26419,-5.44338,96.35745,96.36485,-4.6601,91.92614707,-8.473956303,95.70641873,39.44,152.13,47025,12437,99.89,29.41,1.74,9.4
3/2009,94.66175,-1.37409,95.84639,95.38364,95.57581,8.758403,95.87044,-4.08102,96.19185,212.495,8.7,0.18,-2.65,94.97182,95.23523,-5.31967,96.38944,96.39895,-4.4642,91.83878405,-8.344671826,95.65999218,37.45,150.75,46509,12985,100.25,30.93,1.56,8.19
4/2009,95.54407,0.124715,96.53292,96.22275,96.37935,10.43059,96.19593,-3.51622,96.45812,212.709,9,0.15,-2.21,95.18162,95.43399,-4.91932,96.604,96.61281,-4.03803,91.96982482,-7.898378977,95.72963,37.54,148.96,46368,14345,100.27,31.08,1.29,8.72
5/2009,96.58359,1.882907,97.34175,97.12459,97.24297,12.33171,96.65504,-2.75076,96.85368,213.022,9.4,0.18,-1.29,95.56139,95.79376,-4.284,96.96869,96.97392,-3.39825,92.27254138,-7.084179644,95.89049995,39.09,148.65,46545,15848,100.23,31.19,1.56,8.46
6/2009,97.658,3.839617,98.17773,98.04691,98.1262,14.40937,97.1873,-1.82495,97.32559,214.79,9.5,0.21,-0.77,96.04197,96.24904,-3.44228,97.43411,97.43391,-2.5812,92.68947929,-5.842431011,96.11206952,40.01,151.35,46026,17229,99.89,30.79,2.04,8.28
7/2009,98.66153,5.901785,98.95856,98.91515,98.95764,16.52488,97.74028,-0.77422,97.82638,214.726,9.5,0.16,-0.21,96.56395,96.74355,-2.42159,97.94912,97.94437,-1.63466,93.17840396,-4.167302192,96.37189436,42.35,151.84,46047,17601,100.07,32.09,2.38,7.86
8/2009,99.54471,7.934999,99.64575,99.64888,99.66028,18.50638,98.27465,0.368677,98.31845,215.445,9.6,0.16,-0.06,97.08849,97.24047,-1.23828,98.46843,98.46182,-0.60472,93.7166645,-2.138347327,96.65793733,40.69,155.47,45021,16490,99.87,31.96,2.57,8.77
9/2009,100.1863,9.709744,100.145,100.2283,100.2151,20.19544,98.76208,1.566397,98.77318,215.861,9.8,0.15,0.3,97.58825,97.71392,0.07996,98.9593,98.95435,0.472476,94.28695017,0.07192100209,96.96099913,40.02,153.72,45348,15747,99.78,32.13,3.38,6.84
10/2009,100.542,11.03276,100.4218,100.6618,100.6303,21.47889,99.18068,2.745662,99.16852,216.509,10,0.12,0.17,98.04846,98.14991,1.464633,99.39158,99.39015,1.539782,94.87847753,2.260757622,97.2753492,39.03,153.98,46277,15966,99.9,31.92,4.4,7.27
11/2009,100.6439,11.72862,100.501,100.9611,100.9169,22.26308,99.53004,3.804631,99.50143,217.234,9.9,0.12,0.46,98.46777,98.54715,2.796414,99.74978,99.75098,2.515695,95.47644958,4.241132054,97.59312412,40.49,151.26,47072,16466,99.79,33.43,5.08,7.55
12/2009,100.6372,11.90554,100.4958,101.1017,101.0516,22.46338,99.8205,4.660664,99.77925,217.347,9.9,0.12,0.65,98.85276,98.91187,3.97453,100.0295,100.0299,3.316005,96.07019402,5.913374162,97.9086524,40.22,149.96,47967,16885,100.11,33.14,6.06,8.94
1/2010,100.6362,11.71497,100.495,101.0928,101.043,22.06989,100.0535,5.25738,100.0027,217.488,9.8,0.11,0.54,99.18627,99.22782,4.90432,100.2424,100.2385,3.887618,96.6557705,7.248676321,98.21984005,45.56,159.15,48129,17129,100.4,34.34,6.57,9.29
2/2010,100.714,11.30762,100.5555,100.9734,100.9287,21.16347,100.2281,5.561332,100.1699,217.281,9.8,0.13,0.76,99.43752,99.46585,5.504657,100.4032,100.3918,4.219329,97.2287601,8.255155071,98.52433877,43.54,159.82,47758,16352,100.73,35.01,7.07,10.54
3/2010,100.9037,10.75196,100.7032,100.8041,100.7666,19.96904,100.3521,5.570602,100.2886,217.353,9.9,0.16,1.1,99.61073,99.62994,5.747464,100.5293,100.5092,4.313057,97.79004411,8.953258282,98.82261689,41.38,171.74,47460,15262,101.01,35.27,7.1,7.7
4/2010,101.31,10.19586,101.0193,100.5914,100.5628,18.59929,100.418,5.302789,100.3522,217.403,9.9,0.2,1.14,99.68809,99.70323,5.622943,100.6288,100.6005,4.183474,98.32535659,9.366944909,99.1070932,43.48,165.78,48067,15093,101.03,35.05,7.43,8.8
5/2010,101.8243,9.58862,101.4194,100.356,100.3374,17.14943,100.4354,4.842246,100.3692,217.29,9.6,0.2,1.42,99.67529,99.6911,5.217653,100.7114,100.6774,3.877336,98.83166374,9.546210287,99.37615547,48.61,167.65,49000,14477,101.27,34.61,7.07,6.7
6/2010,102.3827,9.002976,101.854,100.1548,100.1448,15.74001,100.4292,4.283975,100.3643,217.199,9.4,0.18,1.45,99.61184,99.631,4.6536,100.8027,100.766,3.476635,99.33197894,9.585248076,99.64203348,47.63,166.55,49240,14103,101.53,35.34,7.4,7.22
7/2010,102.8763,8.439757,102.238,100.0418,100.0366,14.51856,100.4304,3.718342,100.3673,217.605,9.4,0.18,1.41,99.55516,99.5773,4.058644,100.9228,100.887,3.058041,99.83972993,9.549786437,99.91186303,48.1,162.67,51073,13460,101.9,38.64,7.3,7.26
8/2010,103.2431,7.885626,102.5234,100.0255,100.021,13.57928,100.4621,3.210606,100.4001,217.923,9.5,0.19,0.89,99.55323,99.57547,3.52518,101.0749,101.0431,2.672725,100.3559638,9.468303171,100.1862006,50.37,166.85,50348,13391,102.17,40.2,7.16,7.73
9/2010,103.4318,7.414444,102.6702,100.0878,100.0806,12.91385,100.5266,2.791256,100.4655,218.275,9.5,0.19,0.51,99.61998,99.63871,3.095436,101.2489,101.2246,2.343734,100.8805092,9.361254822,100.464955,48.83,166.6,51125,13564,102.14,42.46,7.1,7.92
10/2010,103.4735,7.100387,102.7027,100.2029,100.1909,12.47592,100.6143,2.471189,100.5547,219.035,9.4,0.19,0.79,99.74357,99.75578,2.770732,101.4292,101.4149,2.085108,101.4057002,9.233034911,100.7440525,50.05,171.75,51918,13361,101.99,42.96,6.98,7.9
11/2010,103.4126,6.950544,102.6553,100.3232,100.306,12.19414,100.7165,2.2398,100.6582,219.59,9.8,0.19,1.4,99.91589,99.91904,2.542244,101.5934,101.5909,1.88878,101.9134331,9.081337811,101.0138725,55.36,178.17,51896,12480,102,44.1,6.93,6.94
12/2010,103.2611,6.820839,102.5374,100.4172,100.3961,12.0582,100.8123,2.064016,100.7547,220.472,9.3,0.18,1.52,100.0992,100.0927,2.36299,101.7184,101.7279,1.734879,102.3851148,8.89866291,101.2645341,53.21,178.71,52145,11382,102.18,44.11,6.99,6.56
1/2011,103.0046,6.574693,102.3378,100.4952,100.4708,12.06815,100.8773,1.916826,100.8199,221.187,9.1,0.17,1.43,100.2511,100.2366,2.206626,101.7845,101.804,1.591203,102.7961593,8.663728787,101.4829717,55.69,179.46,52618,10479,102.58,44.51,6.87,9.43
2/2011,102.661,6.153326,102.0705,100.5655,100.5381,12.18976,100.8836,1.770834,100.8293,221.898,9,0.16,1.49,100.3357,100.3168,2.067664,101.7763,101.8019,1.428793,103.1270588,8.361598776,101.6588187,53.96,181.87,52318,10609,102.97,46.27,6.89,11.14
3/2011,102.2868,5.581464,101.7793,100.6233,100.5934,12.35118,100.818,1.604105,100.7696,223.046,9,0.14,1.65,100.3218,100.3036,1.909456,101.6883,101.7163,1.222584,103.357259,7.970658846,101.7811519,57.38,178.39,51298,10781,103.7,46.13,7.31,7.45
4/2011,101.8749,4.746504,101.4589,100.6379,100.6073,12.51122,100.6849,1.428475,100.6457,224.093,9.1,0.1,1.53,100.2096,100.1973,1.749909,101.5281,101.5567,0.972107,103.4689017,7.48911545,101.8404812,54.42,183.52,52011,10184,104.4,46.51,7.15,7.78
5/2011,101.4204,3.761925,101.1052,100.6103,100.581,12.64814,100.4923,1.241754,100.4659,224.806,9,0.09,1.3,100.0085,100.0068,1.592281,101.3134,101.3437,0.685291,103.4694547,6.928859504,101.8407751,55.55,191.17,52060,9700,104.38,46.31,7.73,6.78
6/2011,100.9823,2.757297,100.7643,100.5382,100.5119,12.69515,100.2606,1.039369,100.2491,224.806,9.1,0.09,1.23,99.7406,99.75297,1.418097,101.0552,101.0889,0.347222,103.397082,6.305029046,101.8023147,55.71,180.94,51695,9594,104.48,47.15,7.83,7.31
7/2011,100.626,1.90822,100.4871,100.4151,100.394,12.58411,100.0163,0.816472,100.0198,225.395,9,0.07,1.31,99.45498,99.48239,1.218629,100.7666,100.805,-0.0486,103.2885624,5.641699034,101.7446451,58.07,182.11,51923,9268,105.31,47.67,8.49,6.81
8/2011,100.4259,1.346787,100.3314,100.2369,100.2234,12.3007,99.78894,0.579917,99.80567,226.106,9,0.1,1.64,99.21822,99.25809,1.012868,100.4685,100.511,-0.48396,103.1747041,4.969693505,101.6841384,57.46,181.57,49990,8897,105.59,48.52,9.13,6.93
9/2011,100.3494,1.085,100.2718,100.0272,100.0225,11.89252,99.61957,0.368899,99.64598,226.597,9,0.08,1.38,99.10038,99.14646,0.85838,100.1984,100.2433,-0.91146,103.0864369,4.320629897,101.6372314,59.31,182.78,48590,8689,105.94,48.07,9.3,8.16
10/2011,100.3525,1.045206,100.2743,99.8242,99.82816,11.43234,99.53246,0.217593,99.56387,226.75,8.8,0.07,1.56,99.12744,99.17209,0.793815,99.98345,100.0279,-1.28855,103.010978,3.689130306,101.5971309,57.68,183.34,47523,8873,106.28,48.7,9.57,6.88
11/2011,100.3837,1.131547,100.2985,99.66686,99.6775,11.01727,99.52062,0.127756,99.55186,227.169,8.6,0.08,1.81,99.27719,99.31396,0.804673,99.82785,99.86845,-1.58972,102.920466,3.06521687,101.549031,56.69,184.52,46062,8796,106.74,49.05,9.02,6.09
12/2011,100.4167,1.306356,100.3242,99.56448,99.57945,10.69208,99.55829,0.094007,99.58558,227.223,8.5,0.07,1.73,99.49392,99.51928,0.872177,99.71906,99.7539,-1.8054,102.7908524,2.443002765,101.4801516,52.57,184.26,46376,9020,107.03,48.82,9.22,7.92
1/2012,100.4268,1.559428,100.3321,99.5285,99.545,10.45777,99.61029,0.105098,99.63179,227.842,8.3,0.08,1.97,99.70619,99.72038,0.966382,99.63312,99.66287,-1.94062,102.6053486,1.829445948,101.381571,57.35,188.16,46594,8760,106.92,50.83,9.72,9.2
2/2012,100.3934,1.853521,100.3061,99.55177,99.56729,10.29694,99.64335,0.155751,99.66,228.329,8.3,0.1,1.89,99.85653,99.8628,1.065161,99.55096,99.57749,-1.99932,102.3436238,1.222381865,101.2424849,52.63,175.18,46668,9406,107.26,53.32,9.89,7.83
3/2012,100.3022,2.118971,100.2351,99.58791,99.60189,10.1632,99.63883,0.239932,99.65366,228.807,8.2,0.13,1.94,99.92274,99.92553,1.177618,99.44873,99.47351,-2,101.9850226,0.6199932134,101.0519167,50.22,187.27,47291,10002,108.09,55.79,9.82,8.94
4/2012,100.1471,2.356448,100.1145,99.62585,99.63822,10.07806,99.59171,0.348285,99.6087,229.187,8.2,0.14,1.82,99.90699,99.9106,1.306018,99.31591,99.3395,-1.96025,101.5459938,0.05403436604,100.8186075,43.83,175.24,47844,10437,108.66,57.49,9.58,7.4
5/2012,99.95771,2.601486,99.9671,99.67686,99.68707,10.05267,99.51069,0.482129,99.53258,228.713,8.2,0.16,1.73,99.82957,99.83726,1.461677,99.16127,99.18427,-1.88832,101.080336,-0.4316522522,100.5711472,46.43,176.16,46978,10088,108.7,56.88,8.87,5.3
6/2012,99.77178,2.833197,99.82243,99.73267,99.74051,10.08078,99.41314,0.638745,99.44181,228.524,8.2,0.16,1.5,99.72777,99.74082,1.660693,98.99638,99.01883,-1.78288,100.6668133,-0.7975373633,100.3513925,44.38,176.83,46348,9765,108.66,57.23,8.55,6.22
7/2012,99.62735,3.023843,99.71005,99.79625,99.80141,10.17292,99.32319,0.816375,99.35903,228.59,8.2,0.16,1.47,99.64826,99.66549,1.901125,98.83806,98.85913,-1.63965,100.3446089,-1.040707297,100.1801663,43.59,180.5,46818,10708,108.76,57.98,7.76,7.1
8/2012,99.58026,3.153821,99.67341,99.86435,99.86662,10.33052,99.26019,1.004975,99.30129,229.918,8.1,0.13,1.44,99.61511,99.63409,2.139646,98.70226,98.72046,-1.46274,100.1077361,-1.196447643,100.0542872,42.74,166.17,45152,11226,109.31,59.77,6.86,6.68
9/2012,99.62284,3.247966,99.70654,99.94269,99.94163,10.53461,99.23484,1.173821,99.27767,231.015,7.8,0.14,1.62,99.63999,99.65766,2.315493,98.60323,98.61673,-1.27428,99.93046014,-1.319513843,99.96007897,42.27,172.04,45010,11345,109.91,61.16,6.78,6.05
10/2012,99.73728,3.332489,99.79558,100.051,100.0453,10.76507,99.24532,1.295955,99.28587,231.638,7.8,0.16,1.82,99.69924,99.71379,2.37675,98.55328,98.56031,-1.08904,99.79125801,-1.418710971,99.88610403,43.44,174.04,45274,10846,109.73,61.9,6.32,5.98
11/2012,99.87023,3.40513,99.89903,100.1915,100.1799,10.98122,99.29285,1.379371,99.32602,231.249,7.7,0.16,1.37,99.77471,99.78529,2.327534,98.55739,98.55626,-0.90631,99.68399234,-1.473275005,99.82910081,42.71,174.82,45238,11453,109.58,63.22,6.66,5.7
12/2012,100.0066,3.477414,100.0052,100.3479,100.3297,11.15414,99.37345,1.446059,99.39527,231.221,7.9,0.16,1.58,99.8676,99.87329,2.227004,98.60546,98.59446,-0.72411,99.60117329,-1.467388065,99.78508902,46.43,176.79,43290,12010,109.86,63.99,6.39,5.2
1/2013,100.1398,3.567959,100.1088,100.5007,100.476,11.24911,99.47516,1.519605,99.4836,231.679,8,0.14,1.71,99.97789,99.97778,2.148796,98.67987,98.65787,-0.5365,99.52460641,-1.402610963,99.74439977,46.86,180.11,42531,11999,109.99,67.02,5.2,7.52
2/2013,100.2225,3.649449,100.1731,100.6302,100.6,11.25212,99.5872,1.622471,99.58116,232.937,7.7,0.15,2,100.0949,100.0886,2.140639,98.7626,98.72951,-0.34334,99.43612205,-1.276827174,99.69737732,47.62,185.01,41609,10450,109.89,67.63,4.32,6.51
3/2013,100.3024,3.786155,100.2353,100.7496,100.7143,11.22969,99.69424,1.758473,99.67495,232.282,7.5,0.14,1.8,100.2005,100.1886,2.206427,98.84279,98.79938,-0.13103,99.34148556,-1.063368843,99.6470855,46.91,191.17,40446,9938,110.89,67.92,4.01,5.21
4/2013,100.3542,3.958799,100.2756,100.8531,100.8135,11.18805,99.79301,1.929565,99.76575,231.797,7.6,0.15,1.71,100.3075,100.29,2.357051,98.92912,98.87823,0.119962,99.26883185,-0.7485042143,99.60847579,44.06,184.63,39532,8695,111.17,68.26,3.69,5.11
5/2013,100.396,4.155908,100.3081,100.9534,100.9095,11.12864,99.89525,2.139036,99.8636,231.893,7.5,0.11,1.67,100.418,100.3947,2.574116,99.03738,98.98243,0.417094,99.24638133,-0.3547699207,99.59654511,41.65,189.41,38551,8966,111.38,66.77,3.27,6.71
6/2013,100.4098,4.319771,100.3189,101.0468,100.999,11.05673,99.99717,2.365412,99.96317,232.445,7.5,0.09,1.56,100.504,100.4761,2.791137,99.17153,99.11645,0.753,99.29041279,0.05737963809,99.61994435,44.49,186.14,37005,9018,111.67,66.68,2.78,5.48
7/2013,100.3935,4.408272,100.3062,101.1331,101.0815,10.96889,100.0959,2.581006,100.0623,232.9,7.3,0.09,1.54,100.5544,100.5239,2.948642,99.32995,99.2781,1.10907,99.39964825,0.4470469981,99.67799438,47.48,186.1,37049,7651,112.29,67.62,2.09,5.92
8/2013,100.337,4.352122,100.2622,101.1876,101.1338,10.84195,100.1908,2.764883,100.1597,233.456,7.2,0.08,1.67,100.5802,100.5483,3.032641,99.50896,99.4618,1.465128,99.55139775,0.7960531685,99.75863725,50.03,185.33,36678,6602,112.9,66.64,2.13,5.25
9/2013,100.236,4.154963,100.1836,101.2033,101.1488,10.66207,100.2756,2.899276,100.2482,233.544,7.2,0.08,1.75,100.5862,100.554,3.035799,99.69193,99.64984,1.789191,99.72143341,1.104766,99.84899777,48.65,182.83,34741,6169,113.02,66.73,1.64,6.62
10/2013,100.1059,3.852297,100.0824,101.1843,101.1306,10.41225,100.3462,2.981741,100.3235,233.669,7.2,0.09,1.39,100.5855,100.5534,2.996022,99.85864,99.82084,2.047282,99.88488995,1.369155226,99.93586202,51.85,183.23,33232,4732,113.06,66.39,1.21,5.32
11/2013,99.93443,3.487898,99.94898,101.1327,101.0812,10.09303,100.3993,3.007544,100.3823,234.1,6.9,0.08,1.54,100.5917,100.5593,2.945883,100.0018,99.96585,2.226194,100.0346992,1.587950215,100.0154738,49.89,181.75,30799,2860,112.82,66.28,0.81,5.19
12/2013,99.79091,3.149494,99.83731,101.0436,100.9959,9.717729,100.4283,2.973929,100.4171,234.719,6.7,0.09,1.5,100.594,100.5614,2.873246,100.1154,100.079,2.329948,100.1796126,1.777489215,100.0924838,46.15,185.17,30599,1523,113,65.66,0.5,6.51
1/2014,99.73633,2.90702,99.79484,100.9179,100.8756,9.30906,100.4383,2.898629,100.4307,235.288,6.6,0.07,1.85,100.5955,100.5629,2.781446,100.1992,100.1594,2.376236,100.3257061,1.962516136,100.170121,43.67,184.37,27748,125,113.36,65.07,0.28,7.4
2/2014,99.78806,2.82635,99.83509,100.7785,100.742,8.913343,100.4423,2.806146,100.4337,235.547,6.7,0.07,1.41,100.623,100.589,2.70876,100.2446,100.2002,2.374368,100.4908537,2.179965304,100.2578839,33.46,175.84,27546,-496,114.04,65.18,0.55,7.02
3/2014,99.84295,2.751992,99.8778,100.6488,100.6178,8.541516,100.4446,2.716847,100.4306,236.028,6.7,0.08,1.49,100.6752,100.6384,2.672366,100.2553,100.2062,2.340031,100.6756606,2.424793058,100.3560942,36.21,180.63,27007,-1514,114.63,64.95,-0.02,6.41
4/2014,99.85387,2.661341,99.8863,100.533,100.5069,8.203988,100.4375,2.626215,100.4169,236.468,6.2,0.09,1.79,100.7357,100.6957,2.642407,100.2333,100.1796,2.266243,100.8686654,2.656472683,100.458661,36.69,183.4,28220,-1394,115.08,64.73,-0.17,5.47
5/2014,99.80172,2.516575,99.84572,100.4346,100.4127,7.890956,100.4205,2.521607,100.394,236.918,6.3,0.09,1.85,100.7876,100.7448,2.599363,100.1824,100.125,2.140603,101.0397569,2.815063923,100.5495826,38.1,182.17,28542,-1357,115.34,64.63,-0.28,5.58
6/2014,99.67428,2.323702,99.74656,100.3563,100.3378,7.608992,100.4006,2.414049,100.3699,237.231,6.1,0.1,1.95,100.827,100.7822,2.56798,100.1152,100.0551,1.971934,101.1337791,2.827496595,100.599548,41.92,185.28,29278,-842,115.53,64.58,-0.49,5.94
7/2014,99.53427,2.149313,99.63762,100.2953,100.2793,7.355167,100.383,2.311748,100.3494,237.498,6.2,0.09,1.92,100.8522,100.806,2.557646,100.044,99.98246,1.774774,101.1022077,2.646224157,100.5827703,42.75,181.75,29003,-513,116.03,65.54,-0.37,5.65
8/2014,99.41101,2.033721,99.54172,100.2376,100.2241,7.140743,100.3698,2.217513,100.3348,237.46,6.1,0.09,1.74,100.8682,100.8212,2.562322,99.98035,99.91979,1.564626,100.9341356,2.28477032,100.4934532,43.89,186.63,28620,137,115.93,64.85,-0.64,6.06
9/2014,99.34794,2.025976,99.49264,100.1744,100.1636,6.96331,100.3664,2.143196,100.3298,237.477,5.9,0.09,1.97,100.873,100.8258,2.574879,99.94136,99.88455,1.37601,100.6442091,1.784222348,100.3393802,41.5,189.05,27866,-338,116.11,64.45,-0.85,5.1
10/2014,99.35065,2.116382,99.49475,100.1117,100.1035,6.825017,100.366,2.085924,100.3293,237.43,5.7,0.09,2.04,100.8594,100.8129,2.574638,99.93402,99.88215,1.236338,100.270346,1.209258882,100.1407015,43.94,190.74,28111,766,116.55,63.35,-0.93,5.9
11/2014,99.42655,2.32552,99.55381,100.0583,100.0523,6.732838,100.3653,2.045472,100.3305,236.983,5.8,0.09,1.74,100.829,100.784,2.549432,99.95734,99.911,1.151631,99.87228323,0.6276158869,99.92916254,43.66,189.4,28911,2006,116.38,63.25,-1.07,5.25
12/2014,99.58088,2.588401,99.67389,100.0136,100.0096,6.691471,100.3631,2.027605,100.331,236.252,5.6,0.12,2.02,100.7756,100.7335,2.504058,100.0066,99.96581,1.122781,99.51999008,0.1008500788,99.74194656,44.23,181.31,31443,2669,116.65,62.31,-1.51,5.52
1/2015,99.75233,2.778827,99.80729,99.98374,99.98095,6.706524,100.3602,2.027623,100.3304,234.747,5.7,0.11,1.7,100.6985,100.6604,2.434296,100.0727,100.0362,1.140762,99.27807006,-0.3124550148,99.61338517,49.95,186.06,31452,3475,116.84,62.63,-1.26,8.27
2/2015,99.8648,2.799951,99.8948,99.97686,99.97436,6.762823,100.3494,2.024974,100.3226,235.342,5.5,0.11,1.7,100.6013,100.5683,2.316888,100.1406,100.1056,1.199145,99.1665231,-0.6103985859,99.55410677,50.47,190.71,31470,4152,117.2,61.9,-1.76,6.85
3/2015,99.89791,2.737156,99.92056,100.0083,100.0044,6.852011,100.3266,2.011211,100.3044,235.976,5.4,0.11,1.7,100.495,100.4676,2.164442,100.2005,100.1656,1.283915,99.13700165,-0.8423283123,99.53841845,52.6,193.37,31490,3952,118.1,61.32,-2.21,5.95
4/2015,99.83493,2.621942,99.87156,100.0366,100.0315,6.925392,100.2903,1.992594,100.2746,236.222,5.4,0.12,1.71,100.3848,100.3632,1.998908,100.2459,100.2112,1.386448,99.14137167,-1.045232193,99.54074077,52.85,202.53,33909,3352,118.56,61.63,-2.38,7.64
5/2015,99.64672,2.443939,99.72512,100.0291,100.0243,6.944231,100.2403,1.969466,100.2323,237.001,5.6,0.12,1.89,100.267,100.2516,1.833881,100.276,100.2421,1.502115,99.11727608,-1.251861641,99.52793587,54.99,195.44,33283,2153,119.23,60.41,-2.38,7.39
6/2015,99.37068,2.253878,99.51034,99.97715,99.97463,6.89653,100.179,1.937321,100.1799,237.657,5.3,0.13,1.68,100.1393,100.1306,1.670817,100.2999,100.2677,1.627543,99.02796738,-1.445101724,99.48047535,54.88,206.69,33851,1136,119.62,60.02,-2.4,5.45
7/2015,99.03652,2.017682,99.25033,99.87832,99.87999,6.782631,100.1033,1.887472,100.1126,238.034,5.2,0.13,1.84,99.9804,99.98016,1.489958,100.3224,100.2922,1.754859,98.8715415,-1.580064086,99.39734735,56.09,204.53,33943,632,120.16,59.73,-2.49,6.46
8/2015,98.77862,1.843655,99.04966,99.75872,99.76547,6.645133,100.021,1.825886,100.0372,238.033,5.1,0.14,1.76,99.79984,99.80909,1.295727,100.3451,100.317,1.87428,98.677697,-1.616942963,99.29433431,56.78,194.47,33606,-613,120.61,60.61,-2.58,6.46
9/2015,98.6703,1.763222,98.96539,99.65224,99.66349,6.529953,99.94774,1.763062,99.96814,237.498,5,0.14,1.78,99.62453,99.64302,1.117686,100.3697,100.3443,1.969595,98.48068696,-1.535491442,99.18963903,54.62,199.69,33257,-979,120.65,61.44,-2.96,6.33
10/2015,98.67151,1.729491,98.96632,99.58062,99.59491,6.453853,99.88763,1.710021,99.91115,237.733,5,0.12,1.59,99.48101,99.50705,0.989905,100.3875,100.3656,2.025013,98.29651945,-1.355673493,99.09176854,56.96,198.73,26970,-1304,120.82,62.17,-2.77,4.67
11/2015,98.75559,1.707419,99.03174,99.54821,99.56387,6.412104,99.82877,1.65813,99.85601,238.017,5.1,0.12,1.55,99.36058,99.39296,0.902064,100.3858,100.3686,2.028398,98.1354667,-1.12480959,99.00618172,60.35,195.02,25615,-2243,121.24,62.2,-2.92,6.24
12/2015,98.87778,1.645597,99.12682,99.53944,99.55548,6.388608,99.76643,1.603631,99.79861,237.761,5,0.24,1.63,99.25446,99.29243,0.851284,100.3577,100.3463,1.977462,98.02225762,-0.8869030244,98.94602004,54.9,183.95,25563,-3420,121.78,61.49,-2.92,6.16
1/2016,99.01365,1.581667,99.23254,99.55124,99.56678,6.37364,99.70276,1.548181,99.7409,237.827,4.9,0.34,1.4,99.16363,99.20638,0.839645,100.3032,100.2976,1.881723,97.99459044,-0.668735707,98.93131711,54.01,185.25,30074,-3095,122.23,59.98,-2.99,7.37
2/2016,99.09402,1.522161,99.29507,99.59426,99.60797,6.369811,99.64332,1.505104,99.68748,237.514,4.9,0.38,1.72,99.09712,99.14337,0.872683,100.2261,100.2259,1.762187,98.07640596,-0.4670417474,98.9747956,45.59,182.95,28399,-2837,122.44,60.2,-2.98,7.18
3/2016,99.07049,1.438165,99.27676,99.67215,99.68256,6.364629,99.60366,1.493966,99.6506,237.99,5,0.36,1.61,99.06361,99.11162,0.948433,100.1469,100.1502,1.647697,98.25898352,-0.242973022,99.07182116,48.16,168.54,29572,-2295,123.17,61.28,-2.44,7.11
4/2016,98.97205,1.37626,99.20017,99.75926,99.76598,6.374741,99.58559,1.518142,99.63118,238.835,5,0.37,1.56,99.05113,99.0998,1.049649,100.079,100.0844,1.558494,98.5020837,0.01055526212,99.2010097,43.19,158.48,34380,-2200,123.19,61.27,-1.77,6.64
